uuid,slug,name
11e81bc7-062c-22f2-b2ba-a0369fe50396,danny-ocean,Danny Ocean
11e81bc7-7525-06d8-82b5-a0369fe50396,christian-nodal,Christian Nodal
11e81bc4-0efa-227e-bce8-a0369fe50396,lorde-1,Lorde
11e81bbf-cef9-2ed0-89d2-a0369fe50396,reik,Reik
11e81bc0-e30b-4b78-a48d-a0369fe50396,eagles,Eagles
11e81bd1-c660-070a-8107-a0369fe50396,blackbear,blackbear
11e81bd3-53dc-0ce0-9e97-a0369fe50396,outkast,OutKast
2f74e176-c3c4-11e8-a260-525400009efb,lil-tjay,Lil Tjay
11e81bbc-9f68-2f2a-b570-a0369fe50396,tanishk-bagchi,Tanishk Bagchi
11e81bc7-5ad1-f3cc-93e2-a0369fe50396,trippie-redd,Trippie Redd
11e83feb-929b-cd4e-b5b6-aa1c026db3d8,mora-3,Mora
11e81bc9-c54d-6c52-b4f0-a0369fe50396,de-la-ghetto,De La Ghetto
11e81bca-da35-5aac-bfb1-a0369fe50396,becky-hill,Becky Hill
11e81bc7-c1bf-cfa0-9250-a0369fe50396,phil-collins,Phil Collins
11e81bbb-75e6-c7fc-bab0-a0369fe50396,paramore-1,Paramore
e49abe34-a584-11e9-bf06-801844edfa71,cris-mj,Cris Mj
b373a31c-b8ee-11e8-8ea7-525400009efb,ovy-on-the-drums-1,Ovy on the Drums
11e83fef-1266-484e-b2d4-a0369fe50396,carin-leon,Carin Leon
11e81bca-7903-b058-9495-a0369fe50396,bryan-adams,Bryan Adams
11e81bd3-4f40-8382-9f4b-a0369fe50396,amitabh-bhattacharya,Amitabh Bhattacharya
11e81bc6-f66c-ec2a-8bf2-a0369fe50396,lauv,Lauv
11e81bbe-2b6c-5f54-a908-a0369fe50396,led-zeppelin,Led Zeppelin
11e81bc2-416c-d87a-a5d9-a0369fe50396,nf-1,NF
11e81bd1-38a7-43ce-9019-a0369fe50396,a-boogie-wit-da-hoodie,A Boogie Wit da Hoodie
8464df52-d6be-11e9-9631-549f35161576,imanbek,Imanbek
11e81bbe-ee15-f57e-8742-a0369fe50396,oasis-1,Oasis
d8d4f7fa-1131-11e9-a419-549f35161576,lizzy-mcalpine,Lizzy McAlpine
11e81bbc-6c0d-d346-a918-a0369fe50396,luke-combs,Luke Combs
11e81bd2-5803-ea82-862e-a0369fe50396,dean-lewis,Dean Lewis
11e81bca-9550-1224-ab30-a0369fe50396,timbaland,Timbaland
11e81bcf-4a33-6520-81e8-a0369fe50396,george-ezra,George Ezra
11e81bc8-05d9-d8f2-b415-a0369fe50396,stevie-wonder,Stevie Wonder
11e81bcd-86a6-803e-9329-a0369fe50396,youngboy-never-broke-again,Youngboy Never Broke Again
11e81bbe-d1c4-0f28-9fdf-a0369fe50396,migos,Migos
11e81bd0-9739-82e0-9e9e-a0369fe50396,little-mix,Little Mix
11e81bc6-96a7-9bfa-9960-a0369fe50396,kesha,Kesha
11e81bcb-39ac-9ea0-89ce-a0369fe50396,troye-sivan,Troye Sivan
11e81bcd-0d11-0f64-a54f-a0369fe50396,gesaffelstein,Gesaffelstein
11e81bc3-cd64-2dd2-acb4-a0369fe50396,brent-faiyaz,Brent Faiyaz
11e81bc0-553d-27bc-a7aa-a0369fe50396,avril-lavigne,Avril Lavigne
11e81bc1-aa96-59bc-9689-a0369fe50396,elvis-presley,Elvis Presley
11e8a772-2ec8-bd06-b3d8-525400009efb,benny-blanco-5,benny blanco
11e81bc3-ca54-9910-83a9-a0369fe50396,the-lumineers,The Lumineers
18029556-a217-11e9-862a-549f35161576,bob-marley-the-wailers-27,Bob Marley & The Wailers
11e81bc1-c27d-e892-a8c1-a0369fe50396,jubin-nautiyal,Jubin Nautiyal
11e81bc8-c418-be6e-b9ed-a0369fe50396,toto-3,Toto
11e81bd2-c8bd-2504-a206-a0369fe50396,julia-michaels,Julia Michaels
b6b06fd0-1afd-11e9-9a89-00163ec5a2fb,nle-choppa,NLE Choppa
11e81bbe-aa1f-ed84-a3bc-a0369fe50396,journey,Journey
11e81bcd-b85f-34ae-a64d-a0369fe50396,journey-1,Journey
11e81bd1-b950-adee-a958-a0369fe50396,cigarettes-after-sex,Cigarettes After Sex
11e81bbf-5126-6e6e-a8d5-a0369fe50396,dj-luian,DJ Luian
11e81bc2-1d37-d036-a0a6-a0369fe50396,bomba-estereo,Bomba Estéreo
11e81bca-d5f1-e7c6-a776-a0369fe50396,mambo-kingz,Mambo Kingz
11e81bcd-a0ae-86c0-8c3a-a0369fe50396,partynextdoor,PARTYNEXTDOOR
11e81bc3-0191-1314-a200-a0369fe50396,french-montana,French Montana
11e81bba-55f0-0324-a0ac-a0369fe50396,r-e-m,R.E.M.
11e81bc0-4e19-7c10-99f1-a0369fe50396,dire-straits,Dire Straits
11e81bcc-7166-5254-ac40-a0369fe50396,alec-benjamin,Alec Benjamin
11e81bce-a47c-6a78-b1a6-a0369fe50396,natti-natasha,Natti Natasha
11e81bbf-4b29-f4b8-b692-a0369fe50396,mac-demarco,Mac DeMarco
11e81bbe-5b34-a426-8614-a0369fe50396,alessia-cara,Alessia Cara
14ff75bc-4c73-11e9-a24b-549f35141000,burna-boy,Burna Boy
11e81bc0-9ad1-0992-81a2-a0369fe50396,david-bowie,David Bowie
11e83fe4-a6a1-a798-96c9-a0369fe50396,joel-corry,Joel Corry
11e81bbb-9588-ad3c-8fe5-a0369fe50396,john-mayer,John Mayer
11e81bc0-2862-3782-b9b7-a0369fe50396,6lack,6LACK
11e81bbe-c5d3-97a6-9911-a0369fe50396,el-alfa,El Alfa
11e81bbe-db82-11fe-a848-a0369fe50396,tears-for-fears,Tears for Fears
11e81bc6-bbc0-7b1e-9642-a0369fe50396,juanes,Juanes
11e81bbd-00ba-0442-824d-a0369fe50396,zedd,Zedd
11e81bbb-8b8e-3ea0-8ab7-a0369fe50396,rels-b,Rels B
11e81bd3-0841-beba-ab54-a0369fe50396,system-of-a-down,System of a Down
11e81bc4-3a05-3cec-8691-a0369fe50396,marvin-gaye,Marvin Gaye
